21:23:39: Edge Data
21:23:39: ---------
21:23:39: Triangle 0 = {indexSet=0, vertexSet=0, v0=18, v1=1, v2=17}
21:23:39: Triangle 21 = {indexSet=0, vertexSet=0, v0=36, v1=19, v2=35}
21:23:39: Triangle 22 = {indexSet=0, vertexSet=0, v0=36, v1=20, v2=19}
21:23:39: Triangle 23 = {indexSet=0, vertexSet=0, v0=37, v1=20, v2=36}
21:23:39: Triangle 24 = {indexSet=0, vertexSet=0, v0=37, v1=21, v2=20}
21:23:39: Triangle 25 = {indexSet=0, vertexSet=0, v0=38, v1=21, v2=37}
21:23:39: Triangle 26 = {indexSet=0, vertexSet=0, v0=38, v1=22, v2=21}
21:23:39: Triangle 27 = {indexSet=0, vertexSet=0, v0=39, v1=22, v2=38}
21:23:39: Triangle 28 = {indexSet=0, vertexSet=0, v0=39, v1=23, v2=22}
21:23:39: Triangle 29 = {indexSet=0, vertexSet=0, v0=40, v1=23, v2=39}
21:23:39: Triangle 30 = {indexSet=0, vertexSet=0, v0=40, v1=24, v2=23}
21:23:39: Triangle 31 = {indexSet=0, vertexSet=0, v0=41, v1=24, v2=40}
21:23:39: Triangle 32 = {indexSet=0, vertexSet=0, v0=41, v1=25, v2=24}
21:23:39: Triangle 33 = {indexSet=0, vertexSet=0, v0=42, v1=25, v2=41}
21:23:39: Triangle 34 = {indexSet=0, vertexSet=0, v0=42, v1=26, v2=25}
21:23:39: Triangle 35 = {indexSet=0, vertexSet=0, v0=43, v1=26, v2=42}
21:23:39: Triangle 36 = {indexSet=0, vertexSet=0, v0=43, v1=27, v2=26}
21:23:39: Triangle 37 = {indexSet=0, vertexSet=0, v0=44, v1=27, v2=43}
21:23:39: Triangle 38 = {indexSet=0, vertexSet=0, v0=44, v1=28, v2=27}
21:23:39: Triangle 39 = {indexSet=0, vertexSet=0, v0=45, v1=28, v2=44}
21:23:39: Triangle 40 = {indexSet=0, vertexSet=0, v0=45, v1=29, v2=28}
21:23:39: Triangle 41 = {indexSet=0, vertexSet=0, v0=46, v1=29, v2=45}
21:23:39: Triangle 42 = {indexSet=0, vertexSet=0, v0=46, v1=30, v2=29}
21:23:39: Triangle 43 = {indexSet=0, vertexSet=0, v0=47, v1=30, v2=46}
21:23:39: Triangle 44 = {indexSet=0, vertexSet=0, v0=47, v1=31, v2=30}
21:23:39: Triangle 45 = {indexSet=0, vertexSet=0, v0=48, v1=31, v2=47}
21:23:39: Triangle 46 = {indexSet=0, vertexSet=0, v0=48, v1=32, v2=31}
21:23:39: Triangle 47 = {indexSet=0, vertexSet=0, v0=49, v1=32, v2=48}
21:23:39: Triangle 48 = {indexSet=0, vertexSet=0, v0=49, v1=33, v2=32}
21:23:39: Triangle 49 = {indexSet=0, vertexSet=0, v0=50, v1=33, v2=49}
21:23:39: Triangle 50 = {indexSet=0, vertexSet=0, v0=50, v1=34, v2=33}
21:23:39: Triangle 51 = {indexSet=0, vertexSet=0, v0=51, v1=34, v2=50}
21:23:39: Triangle 52 = {indexSet=0, vertexSet=0, v0=51, v1=35, v2=34}
21:23:39: Triangle 53 = {indexSet=0, vertexSet=0, v0=52, v1=35, v2=51}
21:23:39: Triangle 54 = {indexSet=0, vertexSet=0, v0=52, v1=36, v2=35}
21:23:39: Triangle 55 = {indexSet=0, vertexSet=0, v0=53, v1=36, v2=52}
21:23:39: Triangle 56 = {indexSet=0, vertexSet=0, v0=53, v1=37, v2=36}
21:23:39: Triangle 57 = {indexSet=0, vertexSet=0, v0=54, v1=37, v2=53}
21:23:39: Triangle 58 = {indexSet=0, vertexSet=0, v0=54, v1=38, v2=37}
21:23:39: Triangle 59 = {indexSet=0, vertexSet=0, v0=55, v1=38, v2=54}
21:23:39: Triangle 60 = {indexSet=0, vertexSet=0, v0=55, v1=39, v2=38}
21:23:39: Triangle 61 = {indexSet=0, vertexSet=0, v0=56, v1=39, v2=55}
21:23:39: Triangle 62 = {indexSet=0, vertexSet=0, v0=56, v1=40, v2=39}
21:23:39: Triangle 63 = {indexSet=0, vertexSet=0, v0=57, v1=40, v2=56}
21:23:39: Triangle 64 = {indexSet=0, vertexSet=0, v0=57, v1=41, v2=40}
21:23:39: Triangle 65 = {indexSet=0, vertexSet=0, v0=58, v1=41, v2=57}
21:23:39: Triangle 66 = {indexSet=0, vertexSet=0, v0=58, v1=42, v2=41}
21:23:39: Triangle 67 = {indexSet=0, vertexSet=0, v0=59, v1=42, v2=58}
21:23:39: Triangle 68 = {indexSet=0, vertexSet=0, v0=59, v1=43, v2=42}
21:23:39: Triangle 69 = {indexSet=0, vertexSet=0, v0=60, v1=43, v2=59}
21:23:39: Triangle 70 = {indexSet=0, vertexSet=0, v0=60, v1=44, v2=43}
21:23:39: Triangle 71 = {indexSet=0, vertexSet=0, v0=61, v1=44, v2=60}
21:23:39: Triangle 72 = {indexSet=0, vertexSet=0, v0=61, v1=45, v2=44}
21:23:39: Triangle 73 = {indexSet=0, vertexSet=0, v0=62, v1=45, v2=61}
21:23:39: Triangle 74 = {indexSet=0, vertexSet=0, v0=62, v1=46, v2=45}
21:23:39: Triangle 75 = {indexSet=0, vertexSet=0, v0=63, v1=46, v2=62}
21:23:39: Triangle 76 = {indexSet=0, vertexSet=0, v0=63, v1=47, v2=46}
21:23:39: Triangle 77 = {indexSet=0, vertexSet=0, v0=64, v1=47, v2=63}
21:23:39: Triangle 78 = {indexSet=0, vertexSet=0, v0=64, v1=48, v2=47}
21:23:39: Triangle 79 = {indexSet=0, vertexSet=0, v0=65, v1=48, v2=64}
21:23:39: Triangle 80 = {indexSet=0, vertexSet=0, v0=65, v1=49, v2=48}
21:23:39: Triangle 81 = {indexSet=0, vertexSet=0, v0=66, v1=49, v2=65}
21:23:39: Triangle 82 = {indexSet=0, vertexSet=0, v0=66, v1=50, v2=49}
21:23:39: Triangle 83 = {indexSet=0, vertexSet=0, v0=67, v1=50, v2=66}
21:23:39: Triangle 84 = {indexSet=0, vertexSet=0, v0=67, v1=51, v2=50}
21:23:39: Triangle 85 = {indexSet=0, vertexSet=0, v0=68, v1=51, v2=67}
21:23:39: Triangle 86 = {indexSet=0, vertexSet=0, v0=68, v1=52, v2=51}
21:23:39: Triangle 87 = {indexSet=0, vertexSet=0, v0=69, v1=52, v2=68}
21:23:39: Triangle 88 = {indexSet=0, vertexSet=0, v0=69, v1=53, v2=52}
21:23:39: Triangle 89 = {indexSet=0, vertexSet=0, v0=70, v1=53, v2=69}
21:23:39: Triangle 90 = {indexSet=0, vertexSet=0, v0=70, v1=54, v2=53}
21:23:39: Triangle 91 = {indexSet=0, vertexSet=0, v0=71, v1=54, v2=70}
21:23:39: Triangle 92 = {indexSet=0, vertexSet=0, v0=71, v1=55, v2=54}
21:23:39: Triangle 93 = {indexSet=0, vertexSet=0, v0=72, v1=55, v2=71}
21:23:39: Triangle 94 = {indexSet=0, vertexSet=0, v0=72, v1=56, v2=55}
21:23:39: Triangle 95 = {indexSet=0, vertexSet=0, v0=73, v1=56, v2=72}
21:23:39: Triangle 96 = {indexSet=0, vertexSet=0, v0=73, v1=57, v2=56}
21:23:39: Triangle 97 = {indexSet=0, vertexSet=0, v0=74, v1=57, v2=73}
21:23:39: Triangle 98 = {indexSet=0, vertexSet=0, v0=74, v1=58, v2=57}
21:23:39: Triangle 99 = {indexSet=0, vertexSet=0, v0=75, v1=58, v2=74}
21:23:39: Triangle 100 = {indexSet=0, vertexSet=0, v0=75, v1=59, v2=58}
21:23:39: Triangle 101 = {indexSet=0, vertexSet=0, v0=76, v1=59, v2=75}
21:23:39: Triangle 102 = {indexSet=0, vertexSet=0, v0=76, v1=60, v2=59}
21:23:39: Triangle 103 = {indexSet=0, vertexSet=0, v0=77, v1=60, v2=76}
21:23:39: Triangle 104 = {indexSet=0, vertexSet=0, v0=77, v1=61, v2=60}
21:23:39: Triangle 105 = {indexSet=0, vertexSet=0, v0=78, v1=61, v2=77}
21:23:39: Triangle 106 = {indexSet=0, vertexSet=0, v0=78, v1=62, v2=61}
21:23:39: Triangle 107 = {indexSet=0, vertexSet=0, v0=79, v1=62, v2=78}
21:23:39: Triangle 108 = {indexSet=0, vertexSet=0, v0=79, v1=63, v2=62}
21:23:39: Triangle 109 = {indexSet=0, vertexSet=0, v0=80, v1=63, v2=79}
21:23:39: Triangle 110 = {indexSet=0, vertexSet=0, v0=80, v1=64, v2=63}
21:23:39: Triangle 111 = {indexSet=0, vertexSet=0, v0=81, v1=64, v2=80}
21:23:39: Triangle 112 = {indexSet=0, vertexSet=0, v0=81, v1=65, v2=64}
21:23:39: Triangle 113 = {indexSet=0, vertexSet=0, v0=82, v1=65, v2=81}
21:23:39: Triangle 114 = {indexSet=0, vertexSet=0, v0=82, v1=66, v2=65}
21:23:39: Triangle 115 = {indexSet=0, vertexSet=0, v0=83, v1=66, v2=82}
21:23:39: Triangle 116 = {indexSet=0, vertexSet=0, v0=83, v1=67, v2=66}
21:23:39: Triangle 117 = {indexSet=0, vertexSet=0, v0=84, v1=67, v2=83}
21:23:39: Triangle 118 = {indexSet=0, vertexSet=0, v0=84, v1=68, v2=67}
21:23:39: Triangle 119 = {indexSet=0, vertexSet=0, v0=85, v1=68, v2=84}
21:23:39: Triangle 120 = {indexSet=0, vertexSet=0, v0=85, v1=69, v2=68}
21:23:39: Triangle 121 = {indexSet=0, vertexSet=0, v0=86, v1=69, v2=85}
21:23:39: Triangle 122 = {indexSet=0, vertexSet=0, v0=86, v1=70, v2=69}
21:23:39: Triangle 123 = {indexSet=0, vertexSet=0, v0=87, v1=70, v2=86}
21:23:39: Triangle 124 = {indexSet=0, vertexSet=0, v0=87, v1=71, v2=70}
21:23:39: Triangle 125 = {indexSet=0, vertexSet=0, v0=88, v1=71, v2=87}
21:23:39: Triangle 126 = {indexSet=0, vertexSet=0, v0=88, v1=72, v2=71}
21:23:39: Triangle 127 = {indexSet=0, vertexSet=0, v0=89, v1=72, v2=88}
21:23:39: Triangle 128 = {indexSet=0, vertexSet=0, v0=89, v1=73, v2=72}
21:23:39: Triangle 129 = {indexSet=0, vertexSet=0, v0=90, v1=73, v2=89}
21:23:39: Triangle 130 = {indexSet=0, vertexSet=0, v0=90, v1=74, v2=73}
21:23:39: Triangle 131 = {indexSet=0, vertexSet=0, v0=91, v1=74, v2=90}
21:23:39: Triangle 132 = {indexSet=0, vertexSet=0, v0=91, v1=75, v2=74}
21:23:39: Triangle 133 = {indexSet=0, vertexSet=0, v0=92, v1=75, v2=91}
21:23:39: Triangle 134 = {indexSet=0, vertexSet=0, v0=92, v1=76, v2=75}
21:23:39: Triangle 135 = {indexSet=0, vertexSet=0, v0=93, v1=76, v2=92}
21:23:39: Triangle 136 = {indexSet=0, vertexSet=0, v0=93, v1=77, v2=76}
21:23:39: Triangle 137 = {indexSet=0, vertexSet=0, v0=94, v1=77, v2=93}
21:23:39: Triangle 138 = {indexSet=0, vertexSet=0, v0=94, v1=78, v2=77}
21:23:39: Triangle 139 = {indexSet=0, vertexSet=0, v0=95, v1=78, v2=94}
21:23:39: Triangle 140 = {indexSet=0, vertexSet=0, v0=95, v1=79, v2=78}
21:23:39: Triangle 141 = {indexSet=0, vertexSet=0, v0=96, v1=79, v2=95}
21:23:39: Triangle 142 = {indexSet=0, vertexSet=0, v0=96, v1=80, v2=79}
21:23:39: Triangle 143 = {indexSet=0, vertexSet=0, v0=97, v1=80, v2=96}
21:23:39: Triangle 144 = {indexSet=0, vertexSet=0, v0=97, v1=81, v2=80}
21:23:39: Triangle 145 = {indexSet=0, vertexSet=0, v0=98, v1=81, v2=97}
21:23:39: Triangle 146 = {indexSet=0, vertexSet=0, v0=98, v1=82, v2=81}
21:23:39: Triangle 147 = {indexSet=0, vertexSet=0, v0=99, v1=82, v2=98}
21:23:39: Triangle 148 = {indexSet=0, vertexSet=0, v0=99, v1=83, v2=82}
21:23:39: Triangle 149 = {indexSet=0, vertexSet=0, v0=100, v1=83, v2=99}
21:23:39: Triangle 150 = {indexSet=0, vertexSet=0, v0=100, v1=84, v2=83}
21:23:39: Triangle 151 = {indexSet=0, vertexSet=0, v0=101, v1=84, v2=100}
21:23:39: Triangle 152 = {indexSet=0, vertexSet=0, v0=101, v1=85, v2=84}
21:23:39: Triangle 153 = {indexSet=0, vertexSet=0, v0=102, v1=85, v2=101}
21:23:39: Triangle 154 = {indexSet=0, vertexSet=0, v0=102, v1=86, v2=85}
21:23:39: Triangle 155 = {indexSet=0, vertexSet=0, v0=103, v1=86, v2=102}
21:23:39: Triangle 156 = {indexSet=0, vertexSet=0, v0=103, v1=87, v2=86}
21:23:39: Triangle 157 = {indexSet=0, vertexSet=0, v0=104, v1=87, v2=103}
21:23:39: Triangle 158 = {indexSet=0, vertexSet=0, v0=104, v1=88, v2=87}
21:23:39: Triangle 159 = {indexSet=0, vertexSet=0, v0=105, v1=88, v2=104}
21:23:39: Triangle 160 = {indexSet=0, vertexSet=0, v0=105, v1=89, v2=88}
21:23:39: Triangle 161 = {indexSet=0, vertexSet=0, v0=106, v1=89, v2=105}
21:23:39: Triangle 162 = {indexSet=0, vertexSet=0, v0=106, v1=90, v2=89}
21:23:39: Triangle 163 = {indexSet=0, vertexSet=0, v0=107, v1=90, v2=106}
21:23:39: Triangle 164 = {indexSet=0, vertexSet=0, v0=107, v1=91, v2=90}
21:23:39: Triangle 165 = {indexSet=0, vertexSet=0, v0=108, v1=91, v2=107}
21:23:39: Triangle 166 = {indexSet=0, vertexSet=0, v0=108, v1=92, v2=91}
21:23:39: Triangle 167 = {indexSet=0, vertexSet=0, v0=109, v1=92, v2=108}
21:23:39: Triangle 168 = {indexSet=0, vertexSet=0, v0=109, v1=93, v2=92}
21:23:39: Triangle 169 = {indexSet=0, vertexSet=0, v0=110, v1=93, v2=109}
21:23:39: Triangle 170 = {indexSet=0, vertexSet=0, v0=110, v1=94, v2=93}
21:23:39: Triangle 171 = {indexSet=0, vertexSet=0, v0=111, v1=94, v2=110}
21:23:39: Triangle 172 = {indexSet=0, vertexSet=0, v0=111, v1=95, v2=94}
21:23:39: Triangle 173 = {indexSet=0, vertexSet=0, v0=112, v1=95, v2=111}
21:23:39: Triangle 174 = {indexSet=0, vertexSet=0, v0=112, v1=96, v2=95}
21:23:39: Triangle 175 = {indexSet=0, vertexSet=0, v0=113, v1=96, v2=112}
21:23:39: Triangle 176 = {indexSet=0, vertexSet=0, v0=113, v1=97, v2=96}
21:23:39: Triangle 177 = {indexSet=0, vertexSet=0, v0=114, v1=97, v2=113}
21:23:39: Triangle 178 = {indexSet=0, vertexSet=0, v0=114, v1=98, v2=97}
21:23:39: Triangle 179 = {indexSet=0, vertexSet=0, v0=115, v1=98, v2=114}
21:23:39: Triangle 180 = {indexSet=0, vertexSet=0, v0=115, v1=99, v2=98}
21:23:39: Triangle 181 = {indexSet=0, vertexSet=0, v0=116, v1=99, v2=115}
21:23:39: Triangle 182 = {indexSet=0, vertexSet=0, v0=116, v1=100, v2=99}
21:23:39: Triangle 183 = {indexSet=0, vertexSet=0, v0=117, v1=100, v2=116}
21:23:39: Triangle 184 = {indexSet=0, vertexSet=0, v0=117, v1=101, v2=100}
21:23:39: Triangle 185 = {indexSet=0, vertexSet=0, v0=118, v1=101, v2=117}
21:23:39: Triangle 186 = {indexSet=0, vertexSet=0, v0=118, v1=102, v2=101}
21:23:39: Triangle 187 = {indexSet=0, vertexSet=0, v0=119, v1=102, v2=118}
21:23:39: Triangle 188 = {indexSet=0, vertexSet=0, v0=119, v1=103, v2=102}
21:23:39: Triangle 189 = {indexSet=0, vertexSet=0, v0=120, v1=103, v2=119}
21:23:39: Triangle 190 = {indexSet=0, vertexSet=0, v0=120, v1=104, v2=103}
21:23:39: Triangle 191 = {indexSet=0, vertexSet=0, v0=121, v1=104, v2=120}
21:23:39: Triangle 192 = {indexSet=0, vertexSet=0, v0=121, v1=105, v2=104}
21:23:39: Triangle 193 = {indexSet=0, vertexSet=0, v0=122, v1=105, v2=121}
21:23:39: Triangle 194 = {indexSet=0, vertexSet=0, v0=122, v1=106, v2=105}
21:23:39: Triangle 195 = {indexSet=0, vertexSet=0, v0=123, v1=106, v2=122}
21:23:39: Triangle 196 = {indexSet=0, vertexSet=0, v0=123, v1=107, v2=106}
21:23:39: Triangle 197 = {indexSet=0, vertexSet=0, v0=124, v1=107, v2=123}
21:23:39: Triangle 198 = {indexSet=0, vertexSet=0, v0=124, v1=108, v2=107}
21:23:39: Triangle 199 = {indexSet=0, vertexSet=0, v0=125, v1=108, v2=124}
21:23:39: Triangle 200 = {indexSet=0, vertexSet=0, v0=125, v1=109, v2=108}
21:23:39: Triangle 201 = {indexSet=0, vertexSet=0, v0=126, v1=109, v2=125}
21:23:39: Triangle 202 = {indexSet=0, vertexSet=0, v0=126, v1=110, v2=109}
21:23:39: Triangle 203 = {indexSet=0, vertexSet=0, v0=127, v1=110, v2=126}
21:23:39: Triangle 204 = {indexSet=0, vertexSet=0, v0=127, v1=111, v2=110}
21:23:39: Triangle 205 = {indexSet=0, vertexSet=0, v0=128, v1=111, v2=127}
21:23:39: Triangle 206 = {indexSet=0, vertexSet=0, v0=128, v1=112, v2=111}
21:23:39: Triangle 207 = {indexSet=0, vertexSet=0, v0=129, v1=112, v2=128}
21:23:39: Triangle 208 = {indexSet=0, vertexSet=0, v0=129, v1=113, v2=112}
21:23:39: Triangle 209 = {indexSet=0, vertexSet=0, v0=130, v1=113, v2=129}
21:23:39: Triangle 210 = {indexSet=0, vertexSet=0, v0=130, v1=114, v2=113}
21:23:39: Triangle 211 = {indexSet=0, vertexSet=0, v0=131, v1=114, v2=130}
21:23:39: Triangle 212 = {indexSet=0, vertexSet=0, v0=131, v1=115, v2=114}
21:23:39: Triangle 213 = {indexSet=0, vertexSet=0, v0=132, v1=115, v2=131}
21:23:39: Triangle 214 = {indexSet=0, vertexSet=0, v0=132, v1=116, v2=115}
21:23:39: Triangle 215 = {indexSet=0, vertexSet=0, v0=133, v1=116, v2=132}
21:23:39: Triangle 216 = {indexSet=0, vertexSet=0, v0=133, v1=117, v2=116}
21:23:39: Triangle 217 = {indexSet=0, vertexSet=0, v0=134, v1=117, v2=133}
21:23:39: Triangle 218 = {indexSet=0, vertexSet=0, v0=134, v1=118, v2=117}
21:23:39: Triangle 219 = {indexSet=0, vertexSet=0, v0=135, v1=118, v2=134}
21:23:39: Triangle 220 = {indexSet=0, vertexSet=0, v0=135, v1=119, v2=118}
21:23:39: Triangle 221 = {indexSet=0, vertexSet=0, v0=136, v1=119, v2=135}
21:23:39: Triangle 222 = {indexSet=0, vertexSet=0, v0=136, v1=120, v2=119}
21:23:39: Triangle 223 = {indexSet=0, vertexSet=0, v0=137, v1=120, v2=136}
21:23:39: Triangle 224 = {indexSet=0, vertexSet=0, v0=137, v1=121, v2=120}
21:23:39: Triangle 225 = {indexSet=0, vertexSet=0, v0=138, v1=121, v2=137}
21:23:39: Triangle 226 = {indexSet=0, vertexSet=0, v0=138, v1=122, v2=121}
21:23:39: Triangle 227 = {indexSet=0, vertexSet=0, v0=139, v1=122, v2=138}
21:23:39: Triangle 228 = {indexSet=0, vertexSet=0, v0=139, v1=123, v2=122}
21:23:39: Triangle 229 = {indexSet=0, vertexSet=0, v0=140, v1=123, v2=139}
21:23:39: Triangle 230 = {indexSet=0, vertexSet=0, v0=140, v1=124, v2=123}
21:23:39: Triangle 231 = {indexSet=0, vertexSet=0, v0=141, v1=124, v2=140}
21:23:39: Triangle 232 = {indexSet=0, vertexSet=0, v0=141, v1=125, v2=124}
21:23:39: Triangle 233 = {indexSet=0, vertexSet=0, v0=142, v1=125, v2=141}
21:23:39: Triangle 234 = {indexSet=0, vertexSet=0, v0=142, v1=126, v2=125}
21:23:39: Triangle 235 = {indexSet=0, vertexSet=0, v0=143, v1=126, v2=142}
21:23:39: Triangle 236 = {indexSet=0, vertexSet=0, v0=143, v1=127, v2=126}
21:23:39: Triangle 237 = {indexSet=0, vertexSet=0, v0=144, v1=127, v2=143}
21:23:39: Triangle 238 = {indexSet=0, vertexSet=0, v0=144, v1=128, v2=127}
21:23:39: Triangle 239 = {indexSet=0, vertexSet=0, v0=145, v1=128, v2=144}
21:23:39: Triangle 240 = {indexSet=0, vertexSet=0, v0=145, v1=129, v2=128}
21:23:39: Triangle 241 = {indexSet=0, vertexSet=0, v0=146, v1=129, v2=145}
21:23:39: Triangle 242 = {indexSet=0, vertexSet=0, v0=146, v1=130, v2=129}
21:23:39: Triangle 243 = {indexSet=0, vertexSet=0, v0=147, v1=130, v2=146}
21:23:39: Triangle 244 = {indexSet=0, vertexSet=0, v0=147, v1=131, v2=130}
21:23:39: Triangle 245 = {indexSet=0, vertexSet=0, v0=148, v1=131, v2=147}
21:23:39: Triangle 246 = {indexSet=0, vertexSet=0, v0=148, v1=132, v2=131}
21:23:39: Triangle 247 = {indexSet=0, vertexSet=0, v0=149, v1=132, v2=148}
21:23:39: Triangle 248 = {indexSet=0, vertexSet=0, v0=149, v1=133, v2=132}
21:23:39: Triangle 249 = {indexSet=0, vertexSet=0, v0=150, v1=133, v2=149}
21:23:39: Triangle 250 = {indexSet=0, vertexSet=0, v0=150, v1=134, v2=133}
21:23:39: Triangle 251 = {indexSet=0, vertexSet=0, v0=151, v1=134, v2=150}
21:23:39: Triangle 252 = {indexSet=0, vertexSet=0, v0=151, v1=135, v2=134}
21:23:39: Triangle 253 = {indexSet=0, vertexSet=0, v0=152, v1=135, v2=151}
21:23:39: Triangle 254 = {indexSet=0, vertexSet=0, v0=152, v1=136, v2=135}
21:23:39: Triangle 255 = {indexSet=0, vertexSet=0, v0=153, v1=136, v2=152}
21:23:39: Triangle 256 = {indexSet=0, vertexSet=0, v0=153, v1=137, v2=136}
21:23:39: Triangle 257 = {indexSet=0, vertexSet=0, v0=154, v1=137, v2=153}
21:23:39: Triangle 258 = {indexSet=0, vertexSet=0, v0=154, v1=138, v2=137}
21:23:39: Triangle 259 = {indexSet=0, vertexSet=0, v0=155, v1=138, v2=154}
21:23:39: Triangle 260 = {indexSet=0, vertexSet=0, v0=155, v1=139, v2=138}
21:23:39: Triangle 261 = {indexSet=0, vertexSet=0, v0=156, v1=139, v2=155}
21:23:39: Triangle 262 = {indexSet=0, vertexSet=0, v0=156, v1=140, v2=139}
21:23:39: Triangle 263 = {indexSet=0, vertexSet=0, v0=157, v1=140, v2=156}
21:23:39: Triangle 264 = {indexSet=0, vertexSet=0, v0=157, v1=141, v2=140}
21:23:39: Triangle 265 = {indexSet=0, vertexSet=0, v0=158, v1=141, v2=157}
21:23:39: Triangle 266 = {indexSet=0, vertexSet=0, v0=158, v1=142, v2=141}
21:23:39: Triangle 267 = {indexSet=0, vertexSet=0, v0=159, v1=142, v2=158}
21:23:39: Triangle 268 = {indexSet=0, vertexSet=0, v0=159, v1=143, v2=142}
21:23:39: Triangle 269 = {indexSet=0, vertexSet=0, v0=160, v1=143, v2=159}
21:23:39: Triangle 270 = {indexSet=0, vertexSet=0, v0=160, v1=144, v2=143}
21:23:39: Triangle 271 = {indexSet=0, vertexSet=0, v0=161, v1=144, v2=160}
21:23:39: Triangle 272 = {indexSet=0, vertexSet=0, v0=161, v1=145, v2=144}
21:23:39: Triangle 273 = {indexSet=0, vertexSet=0, v0=162, v1=145, v2=161}
21:23:39: Triangle 274 = {indexSet=0, vertexSet=0, v0=162, v1=146, v2=145}
21:23:39: Triangle 275 = {indexSet=0, vertexSet=0, v0=163, v1=146, v2=162}
21:23:39: Triangle 276 = {indexSet=0, vertexSet=0, v0=163, v1=147, v2=146}
21:23:39: Triangle 277 = {indexSet=0, vertexSet=0, v0=164, v1=147, v2=163}
21:23:39: Triangle 278 = {indexSet=0, vertexSet=0, v0=164, v1=148, v2=147}
21:23:39: Triangle 279 = {indexSet=0, vertexSet=0, v0=165, v1=148, v2=164}
21:23:39: Triangle 280 = {indexSet=0, vertexSet=0, v0=165, v1=149, v2=148}
21:23:39: Triangle 281 = {indexSet=0, vertexSet=0, v0=166, v1=149, v2=165}
21:23:39: Triangle 282 = {indexSet=0, vertexSet=0, v0=166, v1=150, v2=149}
21:23:39: Triangle 283 = {indexSet=0, vertexSet=0, v0=167, v1=150, v2=166}
21:23:39: Triangle 284 = {indexSet=0, vertexSet=0, v0=167, v1=151, v2=150}
21:23:39: Triangle 285 = {indexSet=0, vertexSet=0, v0=168, v1=151, v2=167}
21:23:39: Triangle 286 = {indexSet=0, vertexSet=0, v0=168, v1=152, v2=151}
21:23:39: Triangle 287 = {indexSet=0, vertexSet=0, v0=169, v1=152, v2=168}
21:23:39: Triangle 288 = {indexSet=0, vertexSet=0, v0=169, v1=153, v2=152}
21:23:39: Triangle 289 = {indexSet=0, vertexSet=0, v0=170, v1=153, v2=169}
21:23:39: Triangle 290 = {indexSet=0, vertexSet=0, v0=170, v1=154, v2=153}
21:23:39: Triangle 291 = {indexSet=0, vertexSet=0, v0=171, v1=154, v2=170}
21:23:39: Triangle 292 = {indexSet=0, vertexSet=0, v0=171, v1=155, v2=154}
21:23:39: Triangle 293 = {indexSet=0, vertexSet=0, v0=172, v1=155, v2=171}
21:23:39: Triangle 294 = {indexSet=0, vertexSet=0, v0=172, v1=156, v2=155}
21:23:39: Triangle 295 = {indexSet=0, vertexSet=0, v0=173, v1=156, v2=172}
21:23:39: Triangle 296 = {indexSet=0, vertexSet=0, v0=173, v1=157, v2=156}
21:23:39: Triangle 297 = {indexSet=0, vertexSet=0, v0=174, v1=157, v2=173}
21:23:39: Triangle 298 = {indexSet=0, vertexSet=0, v0=174, v1=158, v2=157}
21:23:39: Triangle 299 = {indexSet=0, vertexSet=0, v0=175, v1=158, v2=174}
21:23:39: Triangle 300 = {indexSet=0, vertexSet=0, v0=175, v1=159, v2=158}
21:23:39: Triangle 301 = {indexSet=0, vertexSet=0, v0=176, v1=159, v2=175}
